rule,class,N,g_entropy_mean,g_entropy_std,g_corr_mean,g_corr_std,g_compress_mean,g_compress_std
54,IV,51,0.734782,0.091164,1.1718,0.1897,0.651105,0.049226
54,IV,101,0.800893,0.044098,1.0168,0.0167,0.418746,0.029993
54,IV,201,0.825607,0.020886,1.0046,0.0123,0.290572,0.017886
54,IV,501,0.836975,0.008827,1.0,0.0,0.190901,0.006927
110,IV,51,0.937098,0.004871,1.0,0.0,0.7281,0.034121
110,IV,101,0.93932,0.002983,1.0,0.0,0.428705,0.032989
110,IV,201,0.939801,0.001815,1.0,0.0,0.294091,0.020965
110,IV,501,0.939432,0.000711,1.0,0.0,0.184486,0.008235
30,III,51,0.94326,0.003326,1.0,0.0,0.78977,0.002074
30,III,101,0.949665,0.00201,1.0,0.0,0.527141,0.000789
30,III,201,0.951856,0.001234,1.0,0.0,0.359693,0.000457
30,III,501,0.953234,0.000741,1.0,0.0,0.246998,0.000325
90,III,51,0.0,0.0,0.0,0.0,0.470588,0.0
90,III,101,0.0,0.0,0.0,0.0,0.237624,0.0
90,III,201,0.0,0.0,0.0,0.0,0.119403,0.0
90,III,501,0.0,0.0,0.0,0.0,0.051896,0.0
4,II,51,0.0,0.0,0.0,0.0,0.470588,0.0
4,II,101,0.0,0.0,0.0,0.0,0.237624,0.0
4,II,201,0.0,0.0,0.0,0.0,0.119403,0.0
4,II,501,0.0,0.0,0.0,0.0,0.051896,0.0
0,I,51,0.0,0.0,0.0,0.0,0.470588,0.0
0,I,101,0.0,0.0,0.0,0.0,0.237624,0.0
0,I,201,0.0,0.0,0.0,0.0,0.119403,0.0
0,I,501,0.0,0.0,0.0,0.0,0.051896,0.0
